true_label,xgb_pred,rf_pred,xgb_correct,rf_correct,case
5,5,5,TRUE,TRUE,both_correct
0,0,0,TRUE,TRUE,both_correct
4,4,4,TRUE,TRUE,both_correct
5,5,5,TRUE,TRUE,both_correct
5,5,5,TRUE,TRUE,both_correct
0,4,4,FALSE,FALSE,both_wrong
1,1,1,TRUE,TRUE,both_correct
5,5,5,TRUE,TRUE,both_correct
5,5,5,TRUE,TRUE,both_correct
4,4,4,TRUE,TRUE,both_correct
1,1,1,TRUE,TRUE,both_correct
0,5,0,FALSE,TRUE,rf_only_correct
0,0,0,TRUE,TRUE,both_correct
1,1,1,TRUE,TRUE,both_correct
0,0,0,TRUE,TRUE,both_correct
3,3,3,TRUE,TRUE,both_correct
0,5,5,FALSE,FALSE,both_wrong
5,5,1,TRUE,FALSE,xgb_only_correct
4,4,4,TRUE,TRUE,both_correct
1,1,1,TRUE,TRUE,both_correct
3,3,3,TRUE,TRUE,both_correct
2,2,2,TRUE,TRUE,both_correct
2,2,2,TRUE,TRUE,both_correct
5,5,5,TRUE,TRUE,both_correct
0,0,0,TRUE,TRUE,both_correct
4,5,5,FALSE,FALSE,both_wrong
2,2,2,TRUE,TRUE,both_correct
5,5,5,TRUE,TRUE,both_correct
4,4,4,TRUE,TRUE,both_correct
1,1,1,TRUE,TRUE,both_correct
5,5,5,TRUE,TRUE,both_correct
1,1,1,TRUE,TRUE,both_correct
5,5,5,TRUE,TRUE,both_correct
4,4,4,TRUE,TRUE,both_correct
5,5,5,TRUE,TRUE,both_correct
5,5,5,TRUE,TRUE,both_correct
1,1,1,TRUE,TRUE,both_correct
2,2,2,TRUE,TRUE,both_correct
5,5,5,TRUE,TRUE,both_correct
2,2,2,TRUE,TRUE,both_correct
0,1,1,FALSE,FALSE,both_wrong
5,1,1,FALSE,FALSE,both_wrong
3,3,4,TRUE,FALSE,xgb_only_correct
0,4,4,FALSE,FALSE,both_wrong
1,1,1,TRUE,TRUE,both_correct
2,2,2,TRUE,TRUE,both_correct
4,4,4,TRUE,TRUE,both_correct
4,4,4,TRUE,TRUE,both_correct
3,3,3,TRUE,TRUE,both_correct
5,5,5,TRUE,TRUE,both_correct
2,2,2,TRUE,TRUE,both_correct
4,4,4,TRUE,TRUE,both_correct
3,3,3,TRUE,TRUE,both_correct
5,5,5,TRUE,TRUE,both_correct
0,0,5,TRUE,FALSE,xgb_only_correct
0,0,0,TRUE,TRUE,both_correct
3,3,2,TRUE,FALSE,xgb_only_correct
2,2,2,TRUE,TRUE,both_correct
0,0,0,TRUE,TRUE,both_correct
0,0,0,TRUE,TRUE,both_correct
2,2,2,TRUE,TRUE,both_correct
0,0,0,TRUE,TRUE,both_correct
4,4,4,TRUE,TRUE,both_correct
5,5,5,TRUE,TRUE,both_correct
2,2,2,TRUE,TRUE,both_correct
2,2,2,TRUE,TRUE,both_correct
1,1,1,TRUE,TRUE,both_correct
2,2,2,TRUE,TRUE,both_correct
4,4,4,TRUE,TRUE,both_correct
2,2,2,TRUE,TRUE,both_correct
5,5,5,TRUE,TRUE,both_correct
4,4,4,TRUE,TRUE,both_correct
3,3,3,TRUE,TRUE,both_correct
2,2,2,TRUE,TRUE,both_correct
1,1,1,TRUE,TRUE,both_correct
3,3,3,TRUE,TRUE,both_correct
1,1,1,TRUE,TRUE,both_correct
4,4,4,TRUE,TRUE,both_correct
5,0,0,FALSE,FALSE,both_wrong
0,4,4,FALSE,FALSE,both_wrong
2,2,2,TRUE,TRUE,both_correct
5,5,5,TRUE,TRUE,both_correct
2,2,2,TRUE,TRUE,both_correct
4,4,4,TRUE,TRUE,both_correct
3,3,3,TRUE,TRUE,both_correct
3,4,4,FALSE,FALSE,both_wrong
4,4,4,TRUE,TRUE,both_correct
1,1,1,TRUE,TRUE,both_correct
1,1,1,TRUE,TRUE,both_correct
5,5,5,TRUE,TRUE,both_correct
2,2,2,TRUE,TRUE,both_correct
0,0,0,TRUE,TRUE,both_correct
1,1,1,TRUE,TRUE,both_correct
0,0,0,TRUE,TRUE,both_correct
3,3,3,TRUE,TRUE,both_correct
5,5,5,TRUE,TRUE,both_correct
0,0,0,TRUE,TRUE,both_correct
4,4,4,TRUE,TRUE,both_correct
3,3,4,TRUE,FALSE,xgb_only_correct
5,2,1,FALSE,FALSE,both_wrong
5,0,5,FALSE,TRUE,rf_only_correct
4,4,4,TRUE,TRUE,both_correct
2,2,2,TRUE,TRUE,both_correct
2,2,2,TRUE,TRUE,both_correct
5,5,5,TRUE,TRUE,both_correct
5,5,5,TRUE,TRUE,both_correct
2,2,2,TRUE,TRUE,both_correct
5,5,5,TRUE,TRUE,both_correct
5,0,5,FALSE,TRUE,rf_only_correct
5,5,4,TRUE,FALSE,xgb_only_correct
5,0,0,FALSE,FALSE,both_wrong
5,5,5,TRUE,TRUE,both_correct
5,0,0,FALSE,FALSE,both_wrong
5,5,0,TRUE,FALSE,xgb_only_correct
0,0,0,TRUE,TRUE,both_correct
1,1,1,TRUE,TRUE,both_correct
4,4,4,TRUE,TRUE,both_correct
4,4,4,TRUE,TRUE,both_correct
4,4,4,TRUE,TRUE,both_correct
3,3,3,TRUE,TRUE,both_correct
3,3,3,TRUE,TRUE,both_correct
5,5,5,TRUE,TRUE,both_correct
3,3,3,TRUE,TRUE,both_correct
1,0,0,FALSE,FALSE,both_wrong
3,4,4,FALSE,FALSE,both_wrong
0,0,0,TRUE,TRUE,both_correct
4,0,4,FALSE,TRUE,rf_only_correct
2,2,2,TRUE,TRUE,both_correct
1,1,1,TRUE,TRUE,both_correct
2,2,3,TRUE,FALSE,xgb_only_correct
5,5,5,TRUE,TRUE,both_correct
2,2,2,TRUE,TRUE,both_correct
0,5,0,FALSE,TRUE,rf_only_correct
3,3,3,TRUE,TRUE,both_correct
3,3,3,TRUE,TRUE,both_correct
1,1,1,TRUE,TRUE,both_correct
2,2,2,TRUE,TRUE,both_correct
0,5,5,FALSE,FALSE,both_wrong
1,1,1,TRUE,TRUE,both_correct
4,4,4,TRUE,TRUE,both_correct
0,5,0,FALSE,TRUE,rf_only_correct
2,2,2,TRUE,TRUE,both_correct
0,0,0,TRUE,TRUE,both_correct
1,1,1,TRUE,TRUE,both_correct
1,5,5,FALSE,FALSE,both_wrong
1,1,1,TRUE,TRUE,both_correct
3,3,3,TRUE,TRUE,both_correct
1,1,1,TRUE,TRUE,both_correct
1,1,1,TRUE,TRUE,both_correct
3,3,3,TRUE,TRUE,both_correct
0,1,1,FALSE,FALSE,both_wrong
5,5,4,TRUE,FALSE,xgb_only_correct
0,0,0,TRUE,TRUE,both_correct
3,3,3,TRUE,TRUE,both_correct
2,2,2,TRUE,TRUE,both_correct
3,0,3,FALSE,TRUE,rf_only_correct
1,1,1,TRUE,TRUE,both_correct
2,2,2,TRUE,TRUE,both_correct
1,1,1,TRUE,TRUE,both_correct
3,3,3,TRUE,TRUE,both_correct
0,5,5,FALSE,FALSE,both_wrong
2,2,2,TRUE,TRUE,both_correct
0,0,0,TRUE,TRUE,both_correct
4,4,4,TRUE,TRUE,both_correct
5,0,0,FALSE,FALSE,both_wrong
4,4,4,TRUE,TRUE,both_correct
4,4,4,TRUE,TRUE,both_correct
1,1,1,TRUE,TRUE,both_correct
2,2,2,TRUE,TRUE,both_correct
3,3,3,TRUE,TRUE,both_correct
2,2,2,TRUE,TRUE,both_correct
2,2,2,TRUE,TRUE,both_correct
2,2,2,TRUE,TRUE,both_correct
2,2,2,TRUE,TRUE,both_correct
3,3,2,TRUE,FALSE,xgb_only_correct
2,2,2,TRUE,TRUE,both_correct
0,5,5,FALSE,FALSE,both_wrong
2,2,2,TRUE,TRUE,both_correct
0,0,0,TRUE,TRUE,both_correct
3,3,3,TRUE,TRUE,both_correct
2,2,2,TRUE,TRUE,both_correct
2,2,2,TRUE,TRUE,both_correct
5,0,0,FALSE,FALSE,both_wrong
0,4,4,FALSE,FALSE,both_wrong
3,4,3,FALSE,TRUE,rf_only_correct
5,5,5,TRUE,TRUE,both_correct
4,4,4,TRUE,TRUE,both_correct
4,4,2,TRUE,FALSE,xgb_only_correct
3,3,3,TRUE,TRUE,both_correct
4,1,1,FALSE,FALSE,both_wrong
2,2,2,TRUE,TRUE,both_correct
1,1,1,TRUE,TRUE,both_correct
0,0,0,TRUE,TRUE,both_correct
2,2,2,TRUE,TRUE,both_correct
1,1,1,TRUE,TRUE,both_correct
0,3,0,FALSE,TRUE,rf_only_correct
0,0,0,TRUE,TRUE,both_correct
4,4,4,TRUE,TRUE,both_correct
4,4,4,TRUE,TRUE,both_correct
5,4,4,FALSE,FALSE,both_wrong
1,1,1,TRUE,TRUE,both_correct
2,2,2,TRUE,TRUE,both_correct
2,2,2,TRUE,TRUE,both_correct
4,4,4,TRUE,TRUE,both_correct
1,1,1,TRUE,TRUE,both_correct
1,1,1,TRUE,TRUE,both_correct
4,2,2,FALSE,FALSE,both_wrong
0,0,0,TRUE,TRUE,both_correct
0,0,2,TRUE,FALSE,xgb_only_correct
4,0,5,FALSE,FALSE,both_wrong
3,3,3,TRUE,TRUE,both_correct
0,0,0,TRUE,TRUE,both_correct
1,1,1,TRUE,TRUE,both_correct
5,5,5,TRUE,TRUE,both_correct
2,2,2,TRUE,TRUE,both_correct
5,5,5,TRUE,TRUE,both_correct
0,0,0,TRUE,TRUE,both_correct
5,5,5,TRUE,TRUE,both_correct
0,0,0,TRUE,TRUE,both_correct
5,5,5,TRUE,TRUE,both_correct
0,0,0,TRUE,TRUE,both_correct
3,3,3,TRUE,TRUE,both_correct
0,0,0,TRUE,TRUE,both_correct
2,2,2,TRUE,TRUE,both_correct
5,5,5,TRUE,TRUE,both_correct
5,5,0,TRUE,FALSE,xgb_only_correct
4,4,4,TRUE,TRUE,both_correct
4,4,4,TRUE,TRUE,both_correct
0,4,0,FALSE,TRUE,rf_only_correct
0,5,5,FALSE,FALSE,both_wrong
2,2,2,TRUE,TRUE,both_correct
3,1,1,FALSE,FALSE,both_wrong
4,4,4,TRUE,TRUE,both_correct
5,1,0,FALSE,FALSE,both_wrong
4,4,4,TRUE,TRUE,both_correct
1,1,1,TRUE,TRUE,both_correct
5,5,5,TRUE,TRUE,both_correct
4,0,0,FALSE,FALSE,both_wrong
4,4,4,TRUE,TRUE,both_correct
2,2,2,TRUE,TRUE,both_correct
5,5,0,TRUE,FALSE,xgb_only_correct
0,0,0,TRUE,TRUE,both_correct
4,4,4,TRUE,TRUE,both_correct
2,2,2,TRUE,TRUE,both_correct
4,4,4,TRUE,TRUE,both_correct
3,4,4,FALSE,FALSE,both_wrong
0,0,0,TRUE,TRUE,both_correct
3,3,3,TRUE,TRUE,both_correct
4,4,4,TRUE,TRUE,both_correct
1,1,1,TRUE,TRUE,both_correct
3,3,3,TRUE,TRUE,both_correct
5,5,0,TRUE,FALSE,xgb_only_correct
4,4,4,TRUE,TRUE,both_correct
2,3,2,FALSE,TRUE,rf_only_correct
2,2,2,TRUE,TRUE,both_correct
5,5,5,TRUE,TRUE,both_correct
5,5,5,TRUE,TRUE,both_correct
1,1,1,TRUE,TRUE,both_correct
1,1,1,TRUE,TRUE,both_correct
5,5,5,TRUE,TRUE,both_correct
4,2,2,FALSE,FALSE,both_wrong
1,1,1,TRUE,TRUE,both_correct
5,5,5,TRUE,TRUE,both_correct
4,4,4,TRUE,TRUE,both_correct
1,1,1,TRUE,TRUE,both_correct
0,0,0,TRUE,TRUE,both_correct
0,0,0,TRUE,TRUE,both_correct
0,5,5,FALSE,FALSE,both_wrong
4,5,5,FALSE,FALSE,both_wrong
5,5,5,TRUE,TRUE,both_correct
1,1,1,TRUE,TRUE,both_correct
5,5,5,TRUE,TRUE,both_correct
1,1,1,TRUE,TRUE,both_correct
0,0,0,TRUE,TRUE,both_correct
4,4,4,TRUE,TRUE,both_correct
1,1,1,TRUE,TRUE,both_correct
1,1,1,TRUE,TRUE,both_correct
0,0,0,TRUE,TRUE,both_correct
2,2,2,TRUE,TRUE,both_correct
4,4,4,TRUE,TRUE,both_correct
4,4,4,TRUE,TRUE,both_correct
2,2,2,TRUE,TRUE,both_correct
1,1,1,TRUE,TRUE,both_correct
1,1,1,TRUE,TRUE,both_correct
0,0,0,TRUE,TRUE,both_correct
0,0,0,TRUE,TRUE,both_correct
1,1,1,TRUE,TRUE,both_correct
4,4,4,TRUE,TRUE,both_correct
0,0,0,TRUE,TRUE,both_correct
0,3,3,FALSE,FALSE,both_wrong
5,5,5,TRUE,TRUE,both_correct
5,5,4,TRUE,FALSE,xgb_only_correct
5,5,5,TRUE,TRUE,both_correct
1,1,1,TRUE,TRUE,both_correct
5,5,0,TRUE,FALSE,xgb_only_correct
2,3,3,FALSE,FALSE,both_wrong
3,3,3,TRUE,TRUE,both_correct
2,2,2,TRUE,TRUE,both_correct
0,1,1,FALSE,FALSE,both_wrong
0,0,0,TRUE,TRUE,both_correct
0,0,0,TRUE,TRUE,both_correct
5,5,0,TRUE,FALSE,xgb_only_correct
1,5,5,FALSE,FALSE,both_wrong
4,4,4,TRUE,TRUE,both_correct
4,0,4,FALSE,TRUE,rf_only_correct
5,5,5,TRUE,TRUE,both_correct
1,1,1,TRUE,TRUE,both_correct
1,1,1,TRUE,TRUE,both_correct
2,3,2,FALSE,TRUE,rf_only_correct
2,0,0,FALSE,FALSE,both_wrong
5,5,5,TRUE,TRUE,both_correct
3,4,4,FALSE,FALSE,both_wrong
2,2,2,TRUE,TRUE,both_correct
5,5,5,TRUE,TRUE,both_correct
3,3,3,TRUE,TRUE,both_correct
3,3,3,TRUE,TRUE,both_correct
2,2,2,TRUE,TRUE,both_correct
5,5,5,TRUE,TRUE,both_correct
2,2,2,TRUE,TRUE,both_correct
4,4,4,TRUE,TRUE,both_correct
4,4,4,TRUE,TRUE,both_correct
0,1,1,FALSE,FALSE,both_wrong
5,5,5,TRUE,TRUE,both_correct
2,2,2,TRUE,TRUE,both_correct
4,4,4,TRUE,TRUE,both_correct
5,5,5,TRUE,TRUE,both_correct
5,4,4,FALSE,FALSE,both_wrong
1,1,1,TRUE,TRUE,both_correct
2,2,2,TRUE,TRUE,both_correct
1,1,1,TRUE,TRUE,both_correct
2,2,2,TRUE,TRUE,both_correct
1,1,1,TRUE,TRUE,both_correct
1,1,1,TRUE,TRUE,both_correct
0,5,5,FALSE,FALSE,both_wrong
2,2,2,TRUE,TRUE,both_correct
4,4,4,TRUE,TRUE,both_correct
2,2,2,TRUE,TRUE,both_correct
3,2,3,FALSE,TRUE,rf_only_correct
2,2,2,TRUE,TRUE,both_correct
2,2,2,TRUE,TRUE,both_correct
1,0,0,FALSE,FALSE,both_wrong
2,2,2,TRUE,TRUE,both_correct
2,2,2,TRUE,TRUE,both_correct
1,1,1,TRUE,TRUE,both_correct
4,4,4,TRUE,TRUE,both_correct
0,1,1,FALSE,FALSE,both_wrong
3,3,3,TRUE,TRUE,both_correct
0,0,0,TRUE,TRUE,both_correct
1,1,1,TRUE,TRUE,both_correct
2,4,4,FALSE,FALSE,both_wrong
4,4,4,TRUE,TRUE,both_correct
0,1,4,FALSE,FALSE,both_wrong
4,4,4,TRUE,TRUE,both_correct
5,5,5,TRUE,TRUE,both_correct
5,5,5,TRUE,TRUE,both_correct
3,3,3,TRUE,TRUE,both_correct
0,1,0,FALSE,TRUE,rf_only_correct
3,3,3,TRUE,TRUE,both_correct
4,4,4,TRUE,TRUE,both_correct
5,5,5,TRUE,TRUE,both_correct
5,5,5,TRUE,TRUE,both_correct
3,3,3,TRUE,TRUE,both_correct
4,4,4,TRUE,TRUE,both_correct
0,5,0,FALSE,TRUE,rf_only_correct
3,3,3,TRUE,TRUE,both_correct
0,0,0,TRUE,TRUE,both_correct
2,2,2,TRUE,TRUE,both_correct
1,1,1,TRUE,TRUE,both_correct
4,4,4,TRUE,TRUE,both_correct
4,0,1,FALSE,FALSE,both_wrong
2,2,2,TRUE,TRUE,both_correct
1,1,1,TRUE,TRUE,both_correct
3,3,3,TRUE,TRUE,both_correct
2,3,2,FALSE,TRUE,rf_only_correct
0,0,0,TRUE,TRUE,both_correct
1,1,1,TRUE,TRUE,both_correct
2,2,2,TRUE,TRUE,both_correct
1,1,1,TRUE,TRUE,both_correct
5,5,5,TRUE,TRUE,both_correct
2,2,2,TRUE,TRUE,both_correct
0,1,1,FALSE,FALSE,both_wrong
1,1,1,TRUE,TRUE,both_correct
5,5,5,TRUE,TRUE,both_correct
5,5,5,TRUE,TRUE,both_correct
3,3,3,TRUE,TRUE,both_correct
1,1,1,TRUE,TRUE,both_correct
3,3,3,TRUE,TRUE,both_correct
4,4,4,TRUE,TRUE,both_correct
0,0,0,TRUE,TRUE,both_correct
4,4,4,TRUE,TRUE,both_correct
1,1,1,TRUE,TRUE,both_correct
1,1,1,TRUE,TRUE,both_correct
0,0,0,TRUE,TRUE,both_correct
5,5,5,TRUE,TRUE,both_correct
3,3,3,TRUE,TRUE,both_correct
1,1,1,TRUE,TRUE,both_correct
1,1,1,TRUE,TRUE,both_correct
2,2,2,TRUE,TRUE,both_correct
0,0,0,TRUE,TRUE,both_correct
0,0,0,TRUE,TRUE,both_correct
5,5,5,TRUE,TRUE,both_correct
0,0,0,TRUE,TRUE,both_correct
0,5,5,FALSE,FALSE,both_wrong
4,4,4,TRUE,TRUE,both_correct
2,2,2,TRUE,TRUE,both_correct
1,1,1,TRUE,TRUE,both_correct
2,2,2,TRUE,TRUE,both_correct
5,5,5,TRUE,TRUE,both_correct
0,1,0,FALSE,TRUE,rf_only_correct
2,2,2,TRUE,TRUE,both_correct
0,5,5,FALSE,FALSE,both_wrong
0,0,0,TRUE,TRUE,both_correct
3,3,3,TRUE,TRUE,both_correct
2,2,2,TRUE,TRUE,both_correct
2,0,0,FALSE,FALSE,both_wrong
3,3,3,TRUE,TRUE,both_correct
3,3,3,TRUE,TRUE,both_correct
3,3,3,TRUE,TRUE,both_correct
2,2,2,TRUE,TRUE,both_correct
3,3,3,TRUE,TRUE,both_correct
0,3,0,FALSE,TRUE,rf_only_correct
2,2,2,TRUE,TRUE,both_correct
0,0,0,TRUE,TRUE,both_correct
5,5,5,TRUE,TRUE,both_correct
3,3,3,TRUE,TRUE,both_correct
5,5,5,TRUE,TRUE,both_correct
5,5,5,TRUE,TRUE,both_correct
2,2,2,TRUE,TRUE,both_correct
5,5,5,TRUE,TRUE,both_correct
4,4,4,TRUE,TRUE,both_correct
4,4,4,TRUE,TRUE,both_correct
3,3,3,TRUE,TRUE,both_correct
3,3,3,TRUE,TRUE,both_correct
2,2,2,TRUE,TRUE,both_correct
5,5,5,TRUE,TRUE,both_correct
3,3,3,TRUE,TRUE,both_correct
1,1,1,TRUE,TRUE,both_correct
4,4,4,TRUE,TRUE,both_correct
4,4,4,TRUE,TRUE,both_correct
3,3,3,TRUE,TRUE,both_correct
1,1,1,TRUE,TRUE,both_correct
1,5,1,FALSE,TRUE,rf_only_correct
3,3,3,TRUE,TRUE,both_correct
1,1,1,TRUE,TRUE,both_correct
4,4,4,TRUE,TRUE,both_correct
0,5,5,FALSE,FALSE,both_wrong
1,1,1,TRUE,TRUE,both_correct
5,5,5,TRUE,TRUE,both_correct
3,3,3,TRUE,TRUE,both_correct
2,2,2,TRUE,TRUE,both_correct
3,3,3,TRUE,TRUE,both_correct
1,1,1,TRUE,TRUE,both_correct
5,1,1,FALSE,FALSE,both_wrong
1,1,1,TRUE,TRUE,both_correct
0,0,0,TRUE,TRUE,both_correct
4,4,4,TRUE,TRUE,both_correct
4,4,4,TRUE,TRUE,both_correct
4,0,0,FALSE,FALSE,both_wrong
1,1,1,TRUE,TRUE,both_correct
1,1,1,TRUE,TRUE,both_correct
5,0,5,FALSE,TRUE,rf_only_correct
2,2,2,TRUE,TRUE,both_correct
1,1,1,TRUE,TRUE,both_correct
4,0,0,FALSE,FALSE,both_wrong
0,5,0,FALSE,TRUE,rf_only_correct
0,5,5,FALSE,FALSE,both_wrong
2,2,2,TRUE,TRUE,both_correct
5,5,5,TRUE,TRUE,both_correct
1,1,1,TRUE,TRUE,both_correct
2,2,2,TRUE,TRUE,both_correct
0,0,0,TRUE,TRUE,both_correct
5,5,5,TRUE,TRUE,both_correct
1,1,1,TRUE,TRUE,both_correct
4,4,4,TRUE,TRUE,both_correct
0,5,5,FALSE,FALSE,both_wrong
3,3,3,TRUE,TRUE,both_correct
1,1,1,TRUE,TRUE,both_correct
4,4,4,TRUE,TRUE,both_correct
0,0,0,TRUE,TRUE,both_correct
5,5,0,TRUE,FALSE,xgb_only_correct
1,1,1,TRUE,TRUE,both_correct
0,1,1,FALSE,FALSE,both_wrong
0,0,2,TRUE,FALSE,xgb_only_correct
5,5,5,TRUE,TRUE,both_correct
2,2,2,TRUE,TRUE,both_correct
5,5,5,TRUE,TRUE,both_correct
0,0,0,TRUE,TRUE,both_correct
1,1,1,TRUE,TRUE,both_correct
1,1,1,TRUE,TRUE,both_correct
4,0,0,FALSE,FALSE,both_wrong
3,3,3,TRUE,TRUE,both_correct
5,5,5,TRUE,TRUE,both_correct
4,4,4,TRUE,TRUE,both_correct
1,5,5,FALSE,FALSE,both_wrong
3,3,3,TRUE,TRUE,both_correct
3,3,3,TRUE,TRUE,both_correct
0,0,0,TRUE,TRUE,both_correct
2,4,2,FALSE,TRUE,rf_only_correct
2,2,2,TRUE,TRUE,both_correct
0,0,0,TRUE,TRUE,both_correct
0,0,0,TRUE,TRUE,both_correct
3,2,2,FALSE,FALSE,both_wrong
3,3,3,TRUE,TRUE,both_correct
1,0,0,FALSE,FALSE,both_wrong
1,1,1,TRUE,TRUE,both_correct
2,2,4,TRUE,FALSE,xgb_only_correct
0,0,0,TRUE,TRUE,both_correct
2,2,2,TRUE,TRUE,both_correct
4,4,4,TRUE,TRUE,both_correct
5,5,5,TRUE,TRUE,both_correct
4,4,4,TRUE,TRUE,both_correct
5,5,5,TRUE,TRUE,both_correct
2,2,2,TRUE,TRUE,both_correct
1,1,1,TRUE,TRUE,both_correct
1,1,1,TRUE,TRUE,both_correct
5,5,5,TRUE,TRUE,both_correct
5,0,0,FALSE,FALSE,both_wrong
5,5,5,TRUE,TRUE,both_correct
0,0,0,TRUE,TRUE,both_correct
2,2,2,TRUE,TRUE,both_correct
4,4,4,TRUE,TRUE,both_correct
2,2,2,TRUE,TRUE,both_correct
5,5,5,TRUE,TRUE,both_correct
1,1,1,TRUE,TRUE,both_correct
2,2,2,TRUE,TRUE,both_correct
2,2,2,TRUE,TRUE,both_correct
3,3,3,TRUE,TRUE,both_correct
5,5,5,TRUE,TRUE,both_correct
0,0,0,TRUE,TRUE,both_correct
4,4,4,TRUE,TRUE,both_correct
1,1,1,TRUE,TRUE,both_correct
3,3,3,TRUE,TRUE,both_correct
3,2,2,FALSE,FALSE,both_wrong
0,0,3,TRUE,FALSE,xgb_only_correct
5,4,5,FALSE,TRUE,rf_only_correct
0,0,1,TRUE,FALSE,xgb_only_correct
5,5,5,TRUE,TRUE,both_correct
0,0,0,TRUE,TRUE,both_correct
4,4,4,TRUE,TRUE,both_correct
1,1,1,TRUE,TRUE,both_correct
2,2,2,TRUE,TRUE,both_correct
5,5,5,TRUE,TRUE,both_correct
1,1,1,TRUE,TRUE,both_correct
4,3,4,FALSE,TRUE,rf_only_correct
4,4,4,TRUE,TRUE,both_correct
2,2,2,TRUE,TRUE,both_correct
2,3,2,FALSE,TRUE,rf_only_correct
5,5,0,TRUE,FALSE,xgb_only_correct
4,4,3,TRUE,FALSE,xgb_only_correct
4,4,4,TRUE,TRUE,both_correct
4,4,4,TRUE,TRUE,both_correct
2,2,2,TRUE,TRUE,both_correct
5,5,5,TRUE,TRUE,both_correct
5,5,5,TRUE,TRUE,both_correct
3,3,3,TRUE,TRUE,both_correct
2,2,2,TRUE,TRUE,both_correct
5,5,5,TRUE,TRUE,both_correct
1,1,0,TRUE,FALSE,xgb_only_correct
2,2,2,TRUE,TRUE,both_correct
2,2,2,TRUE,TRUE,both_correct
3,3,3,TRUE,TRUE,both_correct
3,3,3,TRUE,TRUE,both_correct
4,4,4,TRUE,TRUE,both_correct
3,2,2,FALSE,FALSE,both_wrong
4,4,4,TRUE,TRUE,both_correct
5,5,5,TRUE,TRUE,both_correct
5,5,5,TRUE,TRUE,both_correct
2,2,2,TRUE,TRUE,both_correct
0,0,0,TRUE,TRUE,both_correct
3,3,3,TRUE,TRUE,both_correct
0,0,0,TRUE,TRUE,both_correct
5,5,5,TRUE,TRUE,both_correct
1,1,1,TRUE,TRUE,both_correct
5,5,5,TRUE,TRUE,both_correct
4,4,4,TRUE,TRUE,both_correct
3,4,4,FALSE,FALSE,both_wrong
0,5,0,FALSE,TRUE,rf_only_correct
5,5,5,TRUE,TRUE,both_correct
1,1,1,TRUE,TRUE,both_correct
0,0,0,TRUE,TRUE,both_correct
2,2,2,TRUE,TRUE,both_correct
3,3,3,TRUE,TRUE,both_correct
1,0,0,FALSE,FALSE,both_wrong
3,3,3,TRUE,TRUE,both_correct
3,4,4,FALSE,FALSE,both_wrong
5,0,5,FALSE,TRUE,rf_only_correct
2,2,2,TRUE,TRUE,both_correct
2,2,2,TRUE,TRUE,both_correct
5,5,5,TRUE,TRUE,both_correct
2,2,2,TRUE,TRUE,both_correct
5,5,5,TRUE,TRUE,both_correct
2,2,2,TRUE,TRUE,both_correct
1,1,1,TRUE,TRUE,both_correct
4,4,4,TRUE,TRUE,both_correct
1,1,1,TRUE,TRUE,both_correct
2,2,2,TRUE,TRUE,both_correct
0,0,0,TRUE,TRUE,both_correct
4,4,4,TRUE,TRUE,both_correct
5,5,5,TRUE,TRUE,both_correct
3,3,3,TRUE,TRUE,both_correct
3,3,3,TRUE,TRUE,both_correct
0,0,0,TRUE,TRUE,both_correct
2,2,2,TRUE,TRUE,both_correct
3,3,3,TRUE,TRUE,both_correct
4,4,4,TRUE,TRUE,both_correct
